Route	Weekday	Sunday	Saturday	Monthly Total
C53	292,652	36,715	59,845	389,211
D80	230,663	34,650	48,477	313,790
D40	236,691	26,833	43,256	306,780
D20	227,201	29,811	48,198	305,210
C31	198,081	20,895	33,350	252,326
C21	193,216	22,472	33,676	249,364
D50	172,704	21,291	32,932	226,927
M60	161,950	22,361	33,464	217,775
M12	163,967	19,358	29,620	212,944
D5X	174,967	13,901	22,824	211,692
P30	161,095	19,187	29,648	209,929
F20	156,223	20,682	31,664	208,569
D4X	143,658	16,215	23,451	183,324
P40	139,582	14,915	23,329	177,826
D6X	133,452	14,287	19,244	166,983
C41	127,173	13,934	20,959	162,066
C11	125,372	14,335	22,009	161,715
D60	126,884	12,851	20,289	160,024
D74	121,658	11,376	17,826	150,860
P60	114,317	13,037	20,404	147,758
A40	112,911	13,443	20,525	146,879
C61	110,141	14,006	19,613	143,760
M70	111,357	11,318	18,438	141,112
M20	116,030	9,141	14,185	139,357
C13	102,370	12,701	18,774	133,845
D10	103,711	11,999	15,822	131,532
C15	98,875	9,682	15,728	124,285
C51	88,241	11,984	20,234	120,458
A58	86,029	13,737	20,428	120,194
M22	77,457	13,151	19,974	110,582
D72	86,159	7,316	10,858	104,333
C37	81,304	8,834	13,424	103,563
D70	76,450	9,259	13,539	99,249
P94	72,837	9,766	14,829	97,432
P16	79,889	6,808	10,408	97,105
D30	77,304	7,534	12,056	96,894
M44	74,333	5,337	8,020	87,689
C17	72,674	5,504	9,156	87,334
D2X	86,774			86,774
P90	67,002	6,509	11,242	84,753
D36	65,128	7,275	10,366	82,769
M42	66,555	5,231	8,016	79,803
C81	62,729	6,302	10,063	79,094
D44	62,520	5,193	8,101	75,814
D32	55,974	5,553	8,445	69,972
P20	53,680	6,285	8,712	68,677
M52	54,641	5,301	8,517	68,459
A70	51,373	6,156	9,665	67,194
C27	56,354	3,990	5,755	66,099
F44	48,881	6,249	9,930	65,060
P42	50,937	4,478	7,473	62,888
D96	50,289	4,506	7,258	62,054
P32	53,882	3,049	4,995	61,927
A27	50,908	4,365	6,532	61,805
C29	45,908	5,262	7,633	58,803
P93	44,403	5,782	8,494	58,679
D34	47,403	4,427	6,250	58,080
F1X	43,312	5,459	8,283	57,054
D94	48,178	3,598	5,182	56,958
C71	45,280	4,629	6,996	56,905
P41	43,445	5,443	8,003	56,891
M54	43,846	4,771	8,012	56,629
D24	46,124	3,973	6,109	56,205
P61	42,259	5,077	7,458	54,794
C75	46,056	3,394	5,301	54,751
C23	41,685	4,527	6,775	52,987
P62	41,488	3,407	4,792	49,687
P33	41,430	3,084	4,783	49,296
P1X	37,720	4,246	6,750	48,715
P66	35,760	4,130	5,221	45,112
D1X	33,828	3,747	5,890	43,466
C35	35,132	3,272	4,604	43,008
A12	32,551	4,374	5,921	42,846
D90	35,370	2,934	3,974	42,278
P31	32,068	3,822	6,089	41,979
P10	30,956	3,524	6,128	40,608
F62	32,061	2,914	4,672	39,647
C55	31,530	2,791	4,498	38,820
P14	31,313	1,885	5,078	38,276
A11	29,458	2,350	6,309	38,117
F60	28,569	3,690	5,597	37,856
F61	28,812	3,427	5,220	37,459
A1X	29,379	2,762	4,812	36,953
F50	30,576	2,145	3,418	36,139
A90	34,309			34,309
P96	25,469	3,236	5,455	34,160
P21	29,199	1,870	2,591	33,660
C91	23,540	3,517	5,140	32,198
P87	26,555	2,003	3,295	31,853
C63	25,920	2,408	3,520	31,848
D82	30,104			30,104
P63	24,973	1,929	2,951	29,853
F23	23,089	2,545	4,048	29,682
F24	21,503	3,029	4,862	29,394
C26	22,682	2,245	3,394	28,321
C25	22,013	2,298	3,449	27,760
A76	21,110	1,238	3,436	25,783
P35	25,584			25,584
P24	21,665	966	2,914	25,545
M82	19,367	2,059	2,891	24,317
P12	19,134	1,632	3,192	23,958
P72	16,997	1,687	2,568	21,252
C33	16,351	1,581	1,952	19,884
P97	17,928			17,928
A66	13,645	1,003	2,686	17,334
C43	14,452	1,004	1,332	16,788
A71	14,594	910	1,220	16,724
M6X	16,533			16,533
P15	16,518			16,518
F26	13,128	960	1,579	15,667
P73	13,154			13,154
A49	12,828			12,828
C85	12,298			12,298
A28	12,284			12,284
C87	11,485			11,485
F81	11,010			11,010
C57	10,505			10,505
C83	8,311	631	896	9,839
F28	9,656			9,656
F85	9,317			9,317
C77	8,455			8,455
A25	6,774			6,774
F19	5,872			5,872
F83	5,455			5,455
F29	5,291			5,291
A29	3,413			3,413
